MU,1701903,Araguacema (TO),7086,TO
MU,1702000,Araguaçu (TO),8517,TO
MU,1702109,Araguaína (TO),180470,TO
MU,1702158,Araguanã (TO),5729,TO
MU,1702208,Araguatins (TO),35761,TO
MU,1702307,Arapoema (TO),6643,TO
MU,1702406,Arraias (TO),10567,TO
MU,1702554,Augustinópolis (TO),18412,TO
MU,1702703,Aurora do Tocantins (TO),3757,TO
MU,1702901,Axixá do Tocantins (TO),9756,TO
MU,1703008,Babaçulândia (TO),10664,TO
MU,1703057,Bandeirantes do Tocantins (TO),3553,TO
MU,1703073,Barra do Ouro (TO),4591,TO
MU,1703107,Barrolândia (TO),5632,TO
MU,1703206,Bernardo Sayão (TO),4459,TO
MU,1703305,Bom Jesus do Tocantins (TO),4894,TO
MU,1703602,Brasilândia do Tocantins (TO),2201,TO
MU,1703701,Brejinho de Nazaré (TO),5497,TO
MU,1703800,Buriti do Tocantins (TO),11348,TO
MU,1703826,Cachoeirinha (TO),2275,TO
MU,1703842,Campos Lindos (TO),10116,TO
MU,1703867,Cariri do Tocantins (TO),4382,TO
MU,1703883,Carmolândia (TO),2580,TO
MU,1703891,Carrasco Bonito (TO),4095,TO
MU,1703909,Caseara (TO),5369,TO
MU,1704105,Centenário (TO),2905,TO
MU,1704600,Chapada de Areia (TO),1406,TO
MU,1705102,Chapada da Natividade (TO),3333,TO
MU,1705508,Colinas do Tocantins (TO),35424,TO
MU,1705557,Combinado (TO),4852,TO
MU,1705607,Conceição do Tocantins (TO),4105,TO
MU,1706001,Couto Magalhães (TO),5588,TO
MU,1706100,Cristalândia (TO),7289,TO
MU,1706258,Crixás do Tocantins (TO),1722,TO
MU,1706506,Darcinópolis (TO),6097,TO
MU,1707009,Dianópolis (TO),22139,TO
MU,1707108,Divinópolis do Tocantins (TO),6900,TO
MU,1707207,Dois Irmãos do Tocantins (TO),7198,TO
MU,1707306,Dueré (TO),4686,TO
MU,1707405,Esperantina (TO),10996,TO
MU,1707553,Fátima (TO),3835,TO
MU,1707652,Figueirópolis (TO),5263,TO
MU,1707702,Filadélfia (TO),8856,TO
MU,1708205,Formoso do Araguaia (TO),18440,TO
MU,1708254,Fortaleza do Tabocão (TO),2589,TO
MU,1708304,Goianorte (TO),5123,TO
MU,1709005,Goiatins (TO),13019,TO
MU,1709302,Guaraí (TO),25923,TO
MU,1709500,Gurupi (TO),86647,TO
MU,1709807,Ipueiras (TO),2015,TO
MU,1710508,Itacajá (TO),7433,TO
MU,1710706,Itaguatins (TO),5864,TO
MU,1710904,Itapiratins (TO),3777,TO
MU,1711100,Itaporã do Tocantins (TO),2427,TO
MU,1711506,Jaú do Tocantins (TO),3849,TO
MU,1711803,Juarina (TO),2193,TO
MU,1711902,Lagoa da Confusão (TO),13357,TO
MU,1711951,Lagoa do Tocantins (TO),4316,TO
MU,1712009,Lajeado (TO),3134,TO
MU,1712157,Lavandeira (TO),1923,TO
MU,1712405,Lizarda (TO),3740,TO
MU,1712454,Luzinópolis (TO),3108,TO
MU,1712504,Marianópolis do Tocantins (TO),5175,TO
MU,1712702,Mateiros (TO),2684,TO
MU,1712801,Maurilândia do Tocantins (TO),3426,TO
MU,1713205,Miracema do Tocantins (TO),18248,TO
MU,1713304,Miranorte (TO),13434,TO
MU,1713601,Monte do Carmo (TO),7947,TO
MU,1713700,Monte Santo do Tocantins (TO),2279,TO
MU,1713809,Palmeiras do Tocantins (TO),6658,TO
MU,1713957,Muricilândia (TO),3551,TO
MU,1714203,Natividade (TO),9244,TO
MU,1714302,Nazaré (TO),3898,TO
MU,1714880,Nova Olinda (TO),11819,TO
MU,1715002,Nova Rosalândia (TO),4260,TO
MU,1715101,Novo Acordo (TO),4342,TO
MU,1715150,Novo Alegre (TO),2332,TO
MU,1715259,Novo Jardim (TO),2722,TO
MU,1715507,Oliveira de Fátima (TO),1112,TO
MU,1715705,Palmeirante (TO),6026,TO
MU,1715754,Palmeirópolis (TO),7659,TO
MU,1716109,Paraíso do Tocantins (TO),51252,TO
